location_code,name,type,parent_code,slug,is_active,sort_order,is_hub,is_secondary,has_airport,image_path,map_image_path,airport_image_path
AFG,Afghanistan,country,,afghanistan,1,0,FALSE,0,0,/assets/images/regions/afghanistan.webp,,
CENTRAL,Central Highlands,region,AFG,central,1,1,FALSE,0,0,/assets/images/regions/central.webp,,
NORTH,Northern Afghanistan,region,AFG,north,1,2,FALSE,0,0,/assets/images/regions/north.webp,,
WEST,Western Afghanistan,region,AFG,west,1,3,FALSE,0,0,/assets/images/regions/west.webp,,
SOUTH,Southern Afghanistan,region,AFG,south,1,4,FALSE,0,0,/assets/images/regions/south.webp,,
EAST,Eastern Afghanistan,region,AFG,east,1,5,FALSE,0,0,/assets/images/regions/east.webp,,
BDK,Badakhshan,province,NORTH,badakhshan,1,100,FALSE,0,0,/assets/images/provinces/badakhshan/hero.webp,,
BDG,Badghis,province,WEST,badghis,1,100,FALSE,0,0,/assets/images/provinces/badghis/hero.webp,,
BAG,Baghlan,province,NORTH,baghlan,1,100,FALSE,0,0,/assets/images/provinces/baghlan/hero.webp,,
BAL,Balkh,province,NORTH,balkh,1,100,FALSE,0,0,/assets/images/provinces/balkh/hero.webp,,
BMY,Bamyan,province,CENTRAL,bamyan,1,100,TRUE,0,0,/assets/images/hubs/bamyan-city/hero.webp,,
DYK,Daykundi,province,CENTRAL,daykundi,1,100,FALSE,0,0,/assets/images/provinces/daykundi/hero.webp,,
FRH,Farah,province,WEST,farah,1,100,FALSE,0,0,/assets/images/provinces/farah/hero.webp,,
FRY,Faryab,province,NORTH,faryab,1,100,FALSE,0,0,/assets/images/provinces/faryab/hero.webp,,
GHZ,Ghazni,province,CENTRAL,ghazni,1,100,TRUE,0,0,/assets/images/hubs/ghazni-city/hero.webp,,
GHO,Ghor,province,WEST,ghor,1,100,FALSE,0,0,/assets/images/provinces/ghor/hero.webp,,
HLM,Helmand,province,SOUTH,helmand,1,100,FALSE,0,0,/assets/images/provinces/helmand/hero.webp,,
HER,Herat,province,WEST,herat,1,100,TRUE,0,0,/assets/images/hubs/herat-city/hero.webp,,
JOW,Jowzjan,province,NORTH,jowzjan,1,100,FALSE,0,0,/assets/images/provinces/jowzjan/hero.webp,,
KBL,Kabul,province,CENTRAL,kabul,1,100,TRUE,0,0,/assets/images/hubs/kabul-city/hero.webp,,
KDR,Kandahar,province,SOUTH,kandahar,1,100,TRUE,0,0,/assets/images/hubs/kandahar-city/hero.webp,,
KPS,Kapisa,province,CENTRAL,kapisa,1,100,FALSE,0,0,/assets/images/provinces/kapisa/hero.webp,,
KHT,Khost,province,EAST,khost,1,100,FALSE,0,0,/assets/images/provinces/khost/hero.webp,,
KNR,Kunar,province,EAST,kunar,1,100,FALSE,0,0,/assets/images/provinces/kunar/hero.webp,,
KDZ,Kunduz,province,NORTH,kunduz,1,100,FALSE,0,0,/assets/images/provinces/kunduz/hero.webp,,
LGM,Laghman,province,EAST,laghman,1,100,FALSE,0,0,/assets/images/provinces/laghman/hero.webp,,
LGR,Logar,province,CENTRAL,logar,1,100,FALSE,0,0,/assets/images/provinces/logar/hero.webp,,
NGH,Nangarhar,province,EAST,nangarhar,1,100,FALSE,0,0,/assets/images/provinces/nangarhar/hero.webp,,
NIM,Nimroz,province,SOUTH,nimroz,1,100,FALSE,0,0,/assets/images/provinces/nimroz/hero.webp,,
NRS,Nuristan,province,EAST,nuristan,1,100,FALSE,0,0,/assets/images/provinces/nuristan/hero.webp,,
PTA,Paktia,province,EAST,paktia,1,100,FALSE,0,0,/assets/images/provinces/paktia/hero.webp,,
PTK,Paktika,province,EAST,paktika,1,100,FALSE,0,0,/assets/images/provinces/paktika/hero.webp,,
PJR,Panjshir,province,CENTRAL,panjshir,1,100,FALSE,0,0,/assets/images/provinces/panjshir/hero.webp,,
PRW,Parwan,province,CENTRAL,parwan,1,100,FALSE,0,0,/assets/images/provinces/parwan/hero.webp,,
SAM,Samangan,province,NORTH,samangan,1,100,FALSE,0,0,/assets/images/provinces/samangan/hero.webp,,
SEP,Sar-e-Pol,province,NORTH,sar-e-pol,1,100,FALSE,0,0,/assets/images/provinces/sar-e-pol/hero.webp,,
TKH,Takhar,province,NORTH,takhar,1,100,FALSE,0,0,/assets/images/provinces/takhar/hero.webp,,
URZ,Uruzgan,province,SOUTH,uruzgan,1,100,FALSE,0,0,/assets/images/provinces/uruzgan/hero.webp,,
WRD,Wardak,province,CENTRAL,wardak,1,100,FALSE,0,0,/assets/images/provinces/wardak/hero.webp,,
ZBL,Zabul,province,SOUTH,zabul,1,100,FALSE,0,0,/assets/images/provinces/zabul/hero.webp,,
KBLC,Kabul,destination,KBL,kabul-city,1,10,TRUE,0,1,/assets/images/hubs/kabul-city/hero.webp,,/assets/images/transport/airports/kabul-city/hero.webp
JBDC,Jalalabad,destination,NGH,jalalabad-city,1,11,TRUE,0,0,/assets/images/hubs/jalalabad/hero.webp,,
KDRC,Kandahar,destination,KDR,kandahar-city,1,12,TRUE,0,1,/assets/images/hubs/kandahar-city/hero.webp,,/assets/images/transport/airports/kandahar-city/hero.webp
GHZC,Ghazni,destination,GHZ,ghazni-city,1,13,TRUE,0,0,/assets/images/hubs/ghazni-city/hero.webp,,
BMYC,Bamyan,destination,BMY,bamyan-city,1,14,TRUE,0,0,/assets/images/hubs/bamyan-city/hero.webp,,
MAZC,Mazar-e-Sharif,destination,BAL,mazar-e-sharif-city,1,15,TRUE,0,1,/assets/images/hubs/mazar-e-sharif/hero.webp,,/assets/images/transport/airports/mazar-e-sharif/hero.webp
