tour_code,tour_slug,day_number,attraction_code
WKND,weekend-in-kabul,1,KBL-013
WKND,weekend-in-kabul,1,KBL-015
WKND,weekend-in-kabul,1,KBL-007
WKND,weekend-in-kabul,1,KBL-003
WKND,weekend-in-kabul,2,KBL-002
WKND,weekend-in-kabul,2,KBL-001
WKND,weekend-in-kabul,2,KBL-005
WKND,weekend-in-kabul,2,KBL-009
WKND,weekend-in-kabul,3,KBL-008
WKND,weekend-in-kabul,3,KBL-012
KBLS,kabul-surroundings,1,KBL-013
KBLS,kabul-surroundings,1,KBL-015
KBLS,kabul-surroundings,1,KBL-007
KBLS,kabul-surroundings,2,KBL-002
KBLS,kabul-surroundings,2,KBL-001
KBLS,kabul-surroundings,2,KBL-003
KBLS,kabul-surroundings,2,KBL-005
KBLS,kabul-surroundings,2,KBL-009
KBLS,kabul-surroundings,3,PRW-002
KBLS,kabul-surroundings,3,PJR-001
KBLS,kabul-surroundings,3,PJR-002
KBLS,kabul-surroundings,4,NGH-001
KBLS,kabul-surroundings,4,NGH-002
KBLS,kabul-surroundings,4,NGH-003
KBLS,kabul-surroundings,5,KBL-008
KBLS,kabul-surroundings,5,KBL-012
KBLS,kabul-surroundings,5,KBL-006
BSKI,bamyan-skiing-tour,1,KBL-003
BSKI,bamyan-skiing-tour,1,KBL-007
BSKI,bamyan-skiing-tour,2,BMY-001
BSKI,bamyan-skiing-tour,2,BMY-002
BSKI,bamyan-skiing-tour,3,BMY-005
BSKI,bamyan-skiing-tour,4,BMY-001
BSKI,bamyan-skiing-tour,4,BMY-002
BSKI,bamyan-skiing-tour,4,BMY-003
BSKI,bamyan-skiing-tour,4,BMY-006
PVEH,panjshir-valley-emeralds-history,1,KBL-003
PVEH,panjshir-valley-emeralds-history,1,KBL-007
PVEH,panjshir-valley-emeralds-history,2,PRW-002
PVEH,panjshir-valley-emeralds-history,2,PJR-001
PVEH,panjshir-valley-emeralds-history,2,PJR-002
PVEH,panjshir-valley-emeralds-history,3,KBL-002
PVEH,panjshir-valley-emeralds-history,3,KBL-001
PVEH,panjshir-valley-emeralds-history,3,KBL-005
PVEH,panjshir-valley-emeralds-history,3,KBL-009
PVEH,panjshir-valley-emeralds-history,4,KBL-015
CAD,central-afghanistan-discovery,1,KBL-003
CAD,central-afghanistan-discovery,1,KBL-013
CAD,central-afghanistan-discovery,1,KBL-015
CAD,central-afghanistan-discovery,2,PRW-001
CAD,central-afghanistan-discovery,2,WRD-001
CAD,central-afghanistan-discovery,3,BMY-001
CAD,central-afghanistan-discovery,3,BMY-002
CAD,central-afghanistan-discovery,3,BMY-003
