tour_code,title,slug,image_folder_path,hero_image_path,overview_image_path,thumbnail_image_path,is_active
CAD,Central Afghanistan Discovery,central-afghanistan-discovery,/assets/images/featured-tours/central-afghanistan-discovery/,/assets/images/featured-tours/central-afghanistan-discovery/hero.webp,/assets/images/featured-tours/central-afghanistan-discovery/overview.webp,/assets/images/featured-tours/central-afghanistan-discovery/thumbnail.webp,1
ADTS,Afghanistan Discovery Tour Spring,afghanistan-discovery-tour-spring,/assets/images/featured-tours/afghanistan-discovery-tour-spring/,/assets/images/featured-tours/afghanistan-discovery-tour-spring/hero.webp,/assets/images/featured-tours/afghanistan-discovery-tour-spring/overview.webp,/assets/images/featured-tours/afghanistan-discovery-tour-spring/thumbnail.webp,1
ADTF,Afghanistan Discovery Tour Fall,afghanistan-discovery-tour-fall,/assets/images/featured-tours/afghanistan-discovery-tour-fall/,/assets/images/featured-tours/afghanistan-discovery-tour-fall/hero.webp,/assets/images/featured-tours/afghanistan-discovery-tour-fall/overview.webp,/assets/images/featured-tours/afghanistan-discovery-tour-fall/thumbnail.webp,1
BSKI,Bamyan Skiing Tour,bamyan-skiing-tour,/assets/images/featured-tours/bamyan-skiing-tour/,/assets/images/featured-tours/bamyan-skiing-tour/hero.webp,/assets/images/featured-tours/bamyan-skiing-tour/overview.webp,/assets/images/featured-tours/bamyan-skiing-tour/thumbnail.webp,1
BUZE,Buzkashi Expedition,buzkashi-expedition,/assets/images/featured-tours/buzkashi-expedition/,/assets/images/featured-tours/buzkashi-expedition/hero.webp,/assets/images/featured-tours/buzkashi-expedition/overview.webp,/assets/images/featured-tours/buzkashi-expedition/thumbnail.webp,1
KBLS,Kabul & Surroundings,kabul-surroundings,/assets/images/featured-tours/kabul-surroundings/,/assets/images/featured-tours/kabul-surroundings/hero.webp,/assets/images/featured-tours/kabul-surroundings/overview.webp,/assets/images/featured-tours/kabul-surroundings/thumbnail.webp,1
WKND,Weekend in Kabul,weekend-in-kabul,/assets/images/featured-tours/weekend-in-kabul/,/assets/images/featured-tours/weekend-in-kabul/hero.webp,/assets/images/featured-tours/weekend-in-kabul/overview.webp,/assets/images/featured-tours/weekend-in-kabul/thumbnail.webp,1
WNTC,Winter Circuit,winter-circuit,/assets/images/featured-tours/winter-circuit/,/assets/images/featured-tours/winter-circuit/hero.webp,/assets/images/featured-tours/winter-circuit/overview.webp,/assets/images/featured-tours/winter-circuit/thumbnail.webp,1
SUMC,Summer Circuit,summer-circuit,/assets/images/featured-tours/summer-circuit/,/assets/images/featured-tours/summer-circuit/hero.webp,/assets/images/featured-tours/summer-circuit/overview.webp,/assets/images/featured-tours/summer-circuit/thumbnail.webp,1
TSRA,Treasures of the Silk Road,treasures-of-silk-road-afghanistan,/assets/images/featured-tours/treasures-of-silk-road-afghanistan/,/assets/images/featured-tours/treasures-of-silk-road-afghanistan/hero.webp,/assets/images/featured-tours/treasures-of-silk-road-afghanistan/overview.webp,/assets/images/featured-tours/treasures-of-silk-road-afghanistan/thumbnail.webp,1
TGHT,The Timurid Grandeur of Herat,timurid-grandeur-herat-tour,/assets/images/featured-tours/timurid-grandeur-herat-tour/,/assets/images/featured-tours/timurid-grandeur-herat-tour/hero.webp,/assets/images/featured-tours/timurid-grandeur-herat-tour/overview.webp,/assets/images/featured-tours/timurid-grandeur-herat-tour/thumbnail.webp,1
PVEH,Panjshir Valley: Emeralds & History,panjshir-valley-emeralds-history,/assets/images/featured-tours/panjshir-valley-emeralds-history/,/assets/images/featured-tours/panjshir-valley-emeralds-history/hero.webp,/assets/images/featured-tours/panjshir-valley-emeralds-history/overview.webp,/assets/images/featured-tours/panjshir-valley-emeralds-history/thumbnail.webp,1
KTDE,Kandahar: The Durrani Empire,kandahar-durrani-empire-tour,/assets/images/featured-tours/kandahar-durrani-empire-tour/,/assets/images/featured-tours/kandahar-durrani-empire-tour/hero.webp,/assets/images/featured-tours/kandahar-durrani-empire-tour/overview.webp,/assets/images/featured-tours/kandahar-durrani-empire-tour/thumbnail.webp,1
